,edge,edge_text,variables,variables_text
144,(ask/Pd.sor.|f-----/en palestinians/Cp.p/en putin/Cp.s/en ((to/Mi/en prevent/P.o.-i-----/en) ('s/Bp.am/en trump/Cp.s/en (relocating/Mv.|pg----/en embassy/Cc.s/en)))),Palestinians ask Putin to prevent Trump's relocating embassy,"[{'PRED': ['ask/Pd.sor.|f-----/en'], 'SOURCE': ['palestinians/Cp.p/en'], 'TARGET': ['putin/Cp.s/en']}]","[{'PRED': 'ask', 'SOURCE': 'Palestinians', 'TARGET': 'Putin'}]"
145,(ask/Pd.sor.|f-----/en palestinians/Cp.p/en world/Cc.s/en ((to/Mi/en punish/P.ox.-i-----/en) israel/Cp.s/en (for/T/en (+/B.am/. settlement/Cc.s/en law/Cc.s/en)))),Palestinians ask world to punish Israel for settlement law,"[{'PRED': ['ask/Pd.sor.|f-----/en'], 'SOURCE': ['palestinians/Cp.p/en'], 'TARGET': ['world/Cc.s/en']}]","[{'PRED': 'ask', 'SOURCE': 'Palestinians', 'TARGET': 'world'}]"
146,(ask/Pd.sor.|f-----/en serbs/Cc.p/en russia/Cp.s/en ((to/Mi/en veto/P.o.-i-----/en) (on/Br.ma/en (+/B.am/. un/Cp.s/en resolution/Cc.s/en) (+/B.am/. srebrenica/Cp.s/en massacre/Cc.s/en)))),Serbs ask Russia to veto UN resolution on Srebrenica massacre,"[{'PRED': ['ask/Pd.sor.|f-----/en'], 'SOURCE': ['serbs/Cc.p/en'], 'TARGET': ['russia/Cp.s/en']}]","[{'PRED': 'ask', 'SOURCE': 'Serbs', 'TARGET': 'Russia'}]"
147,(attack/Pd.so.|f-----/en buddhists/Cp.p/en muslims/Cp.p/en),Buddhists attack Muslims,"[{'PRED': ['attack/Pd.so.|f-----/en'], 'SOURCE': ['buddhists/Cp.p/en'], 'TARGET': ['muslims/Cp.p/en']}]","[{'PRED': 'attack', 'SOURCE': 'Buddhists', 'TARGET': 'Muslims'}]"
148,(beat/P.sor.<f-----/en india/Cp.s/en iran/Cp.s/en ((to/Mi/en win/P.o.-i-----/en) (third/Ma/en (consecutive/Ma/en title/Cc.s/en)))),India beat Iran to win third consecutive title,"[{'PRED': ['beat/P.sor.<f-----/en'], 'SOURCE': ['india/Cp.s/en'], 'TARGET': ['iran/Cp.s/en']}]","[{'PRED': 'beat', 'SOURCE': 'India', 'TARGET': 'Iran'}]"
149,(beat/Pd.?sor.<f-----/en (+/B.ma/. ashes/Cc.p/en (-/B/en 2013/C#/en 14/C#/en)) australia/Cp.s/en england/Cp.s/en ((to/Mi/en regain/P.ox.-i-----/en) urn/Cc.s/en (in/T/en perth/Cp.s/en))),Ashes 2013-14: Australia beat England to regain urn in Perth,"[{'PRED': ['beat/Pd.?sor.<f-----/en'], 'SOURCE': ['australia/Cp.s/en'], 'TARGET': ['england/Cp.s/en']}]","[{'PRED': 'beat', 'SOURCE': 'Australia', 'TARGET': 'England'}]"
150,(beat/Pd.so.<f-----/en england/Cp.s/en ireland/Cp.s/en),England beat Ireland,"[{'PRED': ['beat/Pd.so.<f-----/en'], 'SOURCE': ['england/Cp.s/en'], 'TARGET': ['ireland/Cp.s/en']}]","[{'PRED': 'beat', 'SOURCE': 'England', 'TARGET': 'Ireland'}]"
151,(beat/Pd.sor.<f-----/en england/Cp.s/en australia/Cp.s/en ((to/Mi/en equal/P.o.-i-----/en) (of/Br.ma/en (+/B.am/. (all/Md/en time/Cc.s/en) record/Cc.s/en) (14/M#/en wins/Cc.p/en)))),England beat Australia to equal all-time record of 14 wins,"[{'PRED': ['beat/Pd.sor.<f-----/en'], 'SOURCE': ['england/Cp.s/en'], 'TARGET': ['australia/Cp.s/en']}]","[{'PRED': 'beat', 'SOURCE': 'England', 'TARGET': 'Australia'}]"
152,(beat/Pd.sor.<f-----/en india/Cp.s/en england/Cp.s/en ((to/Mi/en win/P.c.-i-----/en) final/Ca/en)),India beat England to win final,"[{'PRED': ['beat/Pd.sor.<f-----/en'], 'SOURCE': ['india/Cp.s/en'], 'TARGET': ['england/Cp.s/en']}]","[{'PRED': 'beat', 'SOURCE': 'India', 'TARGET': 'England'}]"
153,(blame/Pd.?so.|f-----/en (ablaze/M/en ('s/Bp.am/en gaza/Cp.s/en (sole/Ma/en (+/B.am/. power/Cc.s/en plant/Cc.s/en)))) palestinians/Cp.p/en idf/Cp.s/en),"Gaza's sole power plant ablaze, Palestinians blame IDF","[{'PRED': ['blame/Pd.?so.|f-----/en'], 'SOURCE': ['palestinians/Cp.p/en'], 'TARGET': ['idf/Cp.s/en']}]","[{'PRED': 'blame', 'SOURCE': 'Palestinians', 'TARGET': 'IDF'}]"
154,(blame/Pd.rsso.|f-----/en (says/P.sr.|f--3s-/en trump/Cp.s/en (crossed/P.so.<f-----/en (+/B.am/. syria/Cp.s/en attack/Cc.s/en) (of/Br.ma/en (a/Md/en lot/Cc.s/en) lines/Cc.p/en))) tillerson/Cp.s/en haley/Cp.s/en russia/Cp.s/en),"Trump says Syria attack 'crossed a lot of lines'; Tillerson, Haley blame Russia","[{'PRED': ['blame/Pd.rsso.|f-----/en'], 'SOURCE': ['haley/Cp.s/en'], 'TARGET': ['russia/Cp.s/en']}]","[{'PRED': 'blame', 'SOURCE': 'Haley', 'TARGET': 'Russia'}]"
155,(blamed/P.soo.<f-----/en i/Ci/en delhi/Cp.s/en (+/B.am/. rape/Cc.s/en victim/Cc.s/en)),I blamed Delhi rape victim,"[{'PRED': ['blamed/P.soo.<f-----/en'], 'SOURCE': ['i/Ci/en'], 'TARGET': ['delhi/Cp.s/en']}]","[{'PRED': 'blamed', 'SOURCE': 'I', 'TARGET': 'Delhi'}]"
156,(blames/P.so.|f--3s-/en china/Cp.s/en vietnam/Cp.s/en),China blames Vietnam,"[{'PRED': ['blames/P.so.|f--3s-/en'], 'SOURCE': ['china/Cp.s/en'], 'TARGET': ['vietnam/Cp.s/en']}]","[{'PRED': 'blames', 'SOURCE': 'China', 'TARGET': 'Vietnam'}]"
157,(blames/Pd.?so.|f--3s-/en (+/B.am/. ankara/Cp.s/en bombings/Cc.p/en) turkey/Cp.s/en isis/Cp.s/en),Ankara bombings: Turkey blames ISIS,"[{'PRED': ['blames/Pd.?so.|f--3s-/en'], 'SOURCE': ['turkey/Cp.s/en'], 'TARGET': ['isis/Cp.s/en']}]","[{'PRED': 'blames', 'SOURCE': 'Turkey', 'TARGET': 'ISIS'}]"
158,(blames/Pd.rso.|f--3s-/en (killed/P.sx.<pf----/en 9/C#/en (in/T/en (on/Br.ma/en attack/Cc.s/en (in/Br.ma/en (indian/Ma/en mission/Cc.s/en) afghanistan/Cp.s/en)))) karzai/Cp.s/en pakistan/Cp.s/en),9 killed in attack on Indian mission in Afghanistan; Karzai blames Pakistan,"[{'PRED': ['blames/Pd.rso.|f--3s-/en'], 'SOURCE': ['karzai/Cp.s/en'], 'TARGET': ['pakistan/Cp.s/en']}]","[{'PRED': 'blames', 'SOURCE': 'Karzai', 'TARGET': 'Pakistan'}]"
159,(blames/Pd.rso.|f--3s-/en (stops/P.so.|f--3s-/en poland/Cp.s/en (to/Br.ma/en (reverse/Mv.|f-----/en (+/B.am/. gas/Cc.s/en flow/Cc.s/en)) ukraine/Cp.s/en)) kiev/Cp.s/en russia/Cp.s/en),"Poland stops reverse gas flow to Ukraine, Kiev blames Russia","[{'PRED': ['blames/Pd.rso.|f--3s-/en'], 'SOURCE': ['kiev/Cp.s/en'], 'TARGET': ['russia/Cp.s/en']}]","[{'PRED': 'blames', 'SOURCE': 'Kiev', 'TARGET': 'Russia'}]"
160,(blames/Pd.so.|f--3s-/en syria/Cp.s/en israel/Cp.s/en),Syria Blames Israel,"[{'PRED': ['blames/Pd.so.|f--3s-/en'], 'SOURCE': ['syria/Cp.s/en'], 'TARGET': ['israel/Cp.s/en']}]","[{'PRED': 'blames', 'SOURCE': 'Syria', 'TARGET': 'Israel'}]"
161,(blames/Pd.so.|f--3s-/en washington/Cp.s/en russia/Cp.s/en),Washington blames Russia,"[{'PRED': ['blames/Pd.so.|f--3s-/en'], 'SOURCE': ['washington/Cp.s/en'], 'TARGET': ['russia/Cp.s/en']}]","[{'PRED': 'blames', 'SOURCE': 'Washington', 'TARGET': 'Russia'}]"
162,(blames/Pd.soo.|f--3s-/en moscow/Cp.s/en kiev/Cp.s/en (for/Jr.ma/en (behind/Br.ma/en countries/Cc.p/en it/Ci/en) (putting/P.ox.|pg----/en (their/Mp/en interests/Cc.p/en) (above/T/en humanity/Cc.s/en)))),"Moscow blames Kiev, countries behind it for putting their interests above humanity","[{'PRED': ['blames/Pd.soo.|f--3s-/en'], 'SOURCE': ['moscow/Cp.s/en'], 'TARGET': ['kiev/Cp.s/en']}]","[{'PRED': 'blames', 'SOURCE': 'Moscow', 'TARGET': 'Kiev'}]"
163,(blames/Pd.sox.|f--3s-/en hamas/Cp.s/en israel/Cp.s/en (for/T/en (killing/P.ox.|pg----/en (its/Mp/en (+/B.am/. drone/Cc.s/en expert/Cc.s/en)) (in/T/en tunisia/Cp.s/en)))),Hamas blames Israel for killing its drone expert in Tunisia,"[{'PRED': ['blames/Pd.sox.|f--3s-/en'], 'SOURCE': ['hamas/Cp.s/en'], 'TARGET': ['israel/Cp.s/en'], 'TOPIC': [['killing/P.ox.|pg----/en'], [['its/Mp/en'], [['+/B.am/.'], ['drone/Cc.s/en'], ['expert/Cc.s/en']]], [['in/T/en'], ['tunisia/Cp.s/en']]]}]","[{'PRED': 'blames', 'SOURCE': 'Hamas', 'TARGET': 'Israel', 'TOPIC': 'killing its drone expert in Tunisia'}]"
164,(blames/Pd.sox.|f--3s-/en harper/Cp.s/en hamas/Cp.s/en (after/T/en (hit/Pd.sox.<f-----/en (israeli/Ma/en shells/Cc.p/en) (+/B.am/. un/Cp.s/en shelter/Cc.s/en) (in/T/en gaza/Cp.s/en)))),Harper blames Hamas after Israeli shells hit UN shelter in Gaza,"[{'PRED': ['blames/Pd.sox.|f--3s-/en'], 'SOURCE': ['harper/Cp.s/en'], 'TARGET': ['hamas/Cp.s/en'], 'TOPIC': [['hit/Pd.sox.<f-----/en'], [['israeli/Ma/en'], ['shells/Cc.p/en']], [['+/B.am/.'], ['un/Cp.s/en'], ['shelter/Cc.s/en']], [['in/T/en'], ['gaza/Cp.s/en']]]}]","[{'PRED': 'blames', 'SOURCE': 'Harper', 'TARGET': 'Hamas', 'TOPIC': 'Israeli shells hit UN shelter in Gaza'}]"
165,(blames/Pd.sox.|f--3s-/en india/Cp.s/en pakistan/Cp.s/en (as/T/en (kills/Pd.so.|f--3s-/en (+/B.am/. kashmir/Cp.s/en attack/Cc.s/en) (17/M#/en soldiers/Cc.p/en)))),India blames Pakistan as Kashmir attack kills 17 soldiers,"[{'PRED': ['blames/Pd.sox.|f--3s-/en'], 'SOURCE': ['india/Cp.s/en'], 'TARGET': ['pakistan/Cp.s/en'], 'TOPIC': [['kills/Pd.so.|f--3s-/en'], [['+/B.am/.'], ['kashmir/Cp.s/en'], ['attack/Cc.s/en']], [['17/M#/en'], ['soldiers/Cc.p/en']]]}]","[{'PRED': 'blames', 'SOURCE': 'India', 'TARGET': 'Pakistan', 'TOPIC': 'Kashmir attack kills 17 soldiers'}]"
166,(blames/Pd.sox.|f--3s-/en pakistan/Cp.s/en india/Cp.s/en (as/T/en (holds/Pd.sox.|f--3s-/en us/Cp.s/en (back/Ma/en aid/Cc.s/en) (to/T/en islamabad/Cp.s/en)))),Pakistan blames India as US holds back aid to Islamabad,"[{'PRED': ['blames/Pd.sox.|f--3s-/en'], 'SOURCE': ['pakistan/Cp.s/en'], 'TARGET': ['india/Cp.s/en'], 'TOPIC': [['holds/Pd.sox.|f--3s-/en'], ['us/Cp.s/en'], [['back/Ma/en'], ['aid/Cc.s/en']], [['to/T/en'], ['islamabad/Cp.s/en']]]}]","[{'PRED': 'blames', 'SOURCE': 'Pakistan', 'TARGET': 'India', 'TOPIC': 'US holds back aid to Islamabad'}]"
167,(blames/Pd.sox.|f--3s-/en pakistan/Cp.s/en india/Cp.s/en (as/T/en (holds/Pd.sox.|f--3s-/en usa/Cp.s/en (back/Ma/en aid/Cc.s/en) (to/T/en islamabad/Cp.s/en)))),Pakistan blames India as USA holds back aid to Islamabad,"[{'PRED': ['blames/Pd.sox.|f--3s-/en'], 'SOURCE': ['pakistan/Cp.s/en'], 'TARGET': ['india/Cp.s/en'], 'TOPIC': [['holds/Pd.sox.|f--3s-/en'], ['usa/Cp.s/en'], [['back/Ma/en'], ['aid/Cc.s/en']], [['to/T/en'], ['islamabad/Cp.s/en']]]}]","[{'PRED': 'blames', 'SOURCE': 'Pakistan', 'TARGET': 'India', 'TOPIC': 'USA holds back aid to Islamabad'}]"
168,(blames/Pd.sox.|f--3s-/en putin/Cp.s/en eu/Cp.s/en (as/T/en (abandons/Pd.so.|f--3s-/en russia/Cp.s/en (for/Br.ma/en plans/Cc.p/en (+/B.am/. (+/B.am/. south/Cp.s/en stream/Cp.s/en) (+/B.am/. gas/Cc.s/en pipeline/Cc.s/en)))))),Putin blames EU as Russia abandons plans for South Stream gas pipeline,"[{'PRED': ['blames/Pd.sox.|f--3s-/en'], 'SOURCE': ['putin/Cp.s/en'], 'TARGET': ['eu/Cp.s/en'], 'TOPIC': [['abandons/Pd.so.|f--3s-/en'], ['russia/Cp.s/en'], [['for/Br.ma/en'], ['plans/Cc.p/en'], [['+/B.am/.'], [['+/B.am/.'], ['south/Cp.s/en'], ['stream/Cp.s/en']], [['+/B.am/.'], ['gas/Cc.s/en'], ['pipeline/Cc.s/en']]]]]}]","[{'PRED': 'blames', 'SOURCE': 'Putin', 'TARGET': 'EU', 'TOPIC': 'Russia abandons plans for South Stream gas pipeline'}]"
169,(blames/Pd.sox.|f--3s-/en yemen/Cp.s/en iran/Cp.s/en (after/T/en (haul/Pd.s.|f-----/en weapons/Cc.p/en))),Yemen blames Iran after weapons haul,"[{'PRED': ['blames/Pd.sox.|f--3s-/en'], 'SOURCE': ['yemen/Cp.s/en'], 'TARGET': ['iran/Cp.s/en'], 'TOPIC': [['haul/Pd.s.|f-----/en'], ['weapons/Cc.p/en']]}]","[{'PRED': 'blames', 'SOURCE': 'Yemen', 'TARGET': 'Iran', 'TOPIC': 'weapons haul'}]"
170,(blames/Pd.soxox.|f--3s-/en iran/Cp.s/en israel/Cp.s/en (for/T/en beirut/Cp.s/en) blasts/Cc.p/en (as/T/en (lays/Pd.so.|f--3s-/en (+/B.am/. (+/B.am/. al/Cp.s/en qaeda/Cp.s/en) offshoot/Cc.s/en) claim/Cc.s/en))),Iran blames Israel for Beirut blasts as Al-Qaeda offshoot lays claim,"[{'PRED': ['blames/Pd.soxox.|f--3s-/en'], 'SOURCE': ['iran/Cp.s/en'], 'TARGET': ['israel/Cp.s/en'], 'TOPIC': [['lays/Pd.so.|f--3s-/en'], [['+/B.am/.'], [['+/B.am/.'], ['al/Cp.s/en'], ['qaeda/Cp.s/en']], ['offshoot/Cc.s/en']], ['claim/Cc.s/en']]}]","[{'PRED': 'blames', 'SOURCE': 'Iran', 'TARGET': 'Israel', 'TOPIC': 'Al-Qaeda offshoot lays claim'}]"
171,(blames/Pd.soxr.|f--3s-/en khan/Cp.s/en britain/Cp.s/en (for/T/en ((not/Mn/en stopping/P.o.|pg----/en) ('s/Bp.am/en colleague/Cc.s/en killing/Cc.s/en))) ((has/Mv.|f--3s-/en blamed/P.sox.<pf----/en) (+/B.am/. (former/Ma/en (international/Ma/en cricketer/Cc.s/en)) (+/B.am/. imran/Cp.s/en khan/Cp.s/en)) (the/Md/en (british/Ma/en government/Cc.s/en)) (for/T/en ((not/Mn/en doing/P.ox.|pg----/en) enough/C/en ((to/Mi/en prevent/Pd.o.-i-----/en) (of/Br.ma/en (the/Md/en murder/Cc.s/en) (of/Br.ma/en one/C#/en (his/Mp/en (political/Ma/en colleagues/Cc.p/en))))))))),Khan blames Britain for not stopping colleague's killing: Former international cricketer Imran Khan has blamed the British government for not doing enough to prevent the murder of one his political colleagues,"[{'PRED': ['blames/Pd.soxr.|f--3s-/en'], 'SOURCE': ['khan/Cp.s/en'], 'TARGET': ['britain/Cp.s/en'], 'TOPIC': [[['not/Mn/en'], ['stopping/P.o.|pg----/en']], [[""'s/Bp.am/en""], ['colleague/Cc.s/en'], ['killing/Cc.s/en']]]}]","[{'PRED': 'blames', 'SOURCE': 'Khan', 'TARGET': 'Britain', 'TOPIC': ""not stopping colleague's killing""}]"
172,(blames/Pd.soxx.|f--3s-/en palestine/Cp.s/en israel/Cp.s/en (for/T/en (in/Br.ma/en deadlock/Cc.s/en (+/B.am/. peace/Cc.s/en talks/Cc.p/en))) (by/T/en ((not/Mn/en halting/P.o.|pg----/en) (+/B.am/. settlements/Cc.p/en construction/Cc.s/en)))),Palestine blames Israel for deadlock in peace talks by not halting settlements construction,"[{'PRED': ['blames/Pd.soxx.|f--3s-/en'], 'SOURCE': ['palestine/Cp.s/en'], 'TARGET': ['israel/Cp.s/en'], 'TOPIC': [[['not/Mn/en'], ['halting/P.o.|pg----/en']], [['+/B.am/.'], ['settlements/Cc.p/en'], ['construction/Cc.s/en']]]}]","[{'PRED': 'blames', 'SOURCE': 'Palestine', 'TARGET': 'Israel', 'TOPIC': 'not halting settlements construction'}]"
173,(chides/Pd.soxx.|f--3s-/en eu/Cp.s/en jordan/Cp.s/en (for/T/en hangings/Cc.p/en) (after/T/en (killed/Pd.s.<f-----/en pilot/Cc.s/en))),EU chides Jordan for hangings after pilot killed,"[{'PRED': ['chides/Pd.soxx.|f--3s-/en'], 'SOURCE': ['eu/Cp.s/en'], 'TARGET': ['jordan/Cp.s/en'], 'TOPIC': [['killed/Pd.s.<f-----/en'], ['pilot/Cc.s/en']]}]","[{'PRED': 'chides', 'SOURCE': 'EU', 'TARGET': 'Jordan', 'TOPIC': 'pilot killed'}]"
174,(commit/Pd.?sooo.|f-----/en malaysia/Cp.s/en australia/Cp.s/en rm180/Cp.s/en m/Cc.s/en each/Cd/en),"Malaysia, Australia commit RM180m each","[{'PRED': ['commit/Pd.?sooo.|f-----/en'], 'SOURCE': ['australia/Cp.s/en'], 'TARGET': ['m/Cc.s/en']}]","[{'PRED': 'commit', 'SOURCE': 'Australia', 'TARGET': 'm'}]"
175,(condemns/P.soo.|f--3s-/en g7/Cp.s/en russia/Cp.s/en (military/Ma/en (+/B.am/. build/Cc.s/en up/Cc.s/en))),G7 condemns Russia military build-up,"[{'PRED': ['condemns/P.soo.|f--3s-/en'], 'SOURCE': ['g7/Cp.s/en'], 'TARGET': ['russia/Cp.s/en']}]","[{'PRED': 'condemns', 'SOURCE': 'G7', 'TARGET': 'Russia'}]"
176,(condemns/Pd.rso.|f--3s-/en (clash/P.ssx.|f-----/en police/Cc.p/en (pro/Ma/en (-/Ma/en (europe/Ma/en protesters/Cc.p/en))) (in/T/en ukraine/Cp.s/en)) eu/Cp.s/en russia/Cp.s/en),"Police, pro-Europe protesters clash in Ukraine; EU condemns Russia","[{'PRED': ['condemns/Pd.rso.|f--3s-/en'], 'SOURCE': ['eu/Cp.s/en'], 'TARGET': ['russia/Cp.s/en']}]","[{'PRED': 'condemns', 'SOURCE': 'EU', 'TARGET': 'Russia'}]"
177,(condemns/Pd.so?.|f--3s-/en georgia/Cp.s/en russia/Cp.s/en (deal/Pd.sx.|f-----/en (+/B.am/. south/Cp.s/en ossetia/Cp.s/en) (as/T/en (toward/Br.ma/en step/Cc.s/en annexation/Cc.s/en)))),"Georgia condemns Russia, South Ossetia deal as step toward annexation","[{'PRED': ['condemns/Pd.so?.|f--3s-/en'], 'SOURCE': ['georgia/Cp.s/en'], 'TARGET': ['russia/Cp.s/en']}]","[{'PRED': 'condemns', 'SOURCE': 'Georgia', 'TARGET': 'Russia'}]"
178,(condemns/Pd.sor.|f--3s-/en turkey/Cp.s/en berlin/Cp.s/en (kill/P.o?.-i-----/en ('/Bp.am/en dictatorship/Cc.s/en artwork/Cc.s/en) (featuring/P.o.|pg----/en erdogan/Cp.s/en))),Turkey condemns Berlin 'kill dictatorship' artwork featuring Erdogan,"[{'PRED': ['condemns/Pd.sor.|f--3s-/en'], 'SOURCE': ['turkey/Cp.s/en'], 'TARGET': ['berlin/Cp.s/en']}]","[{'PRED': 'condemns', 'SOURCE': 'Turkey', 'TARGET': 'Berlin'}]"
179,(condemns/Pd.sox.|f--3s-/en canada/Cp.s/en abbas/Cp.s/en (for/T/en (accusing/P.o.|pg----/en (of/Br.ma/en rabbis/Cc.p/en (+/B.am/. poisoning/Cc.s/en water/Cc.s/en))))),Canada condemns Abbas for accusing rabbis of poisoning water,"[{'PRED': ['condemns/Pd.sox.|f--3s-/en'], 'SOURCE': ['canada/Cp.s/en'], 'TARGET': ['abbas/Cp.s/en'], 'TOPIC': [['accusing/P.o.|pg----/en'], [['of/Br.ma/en'], ['rabbis/Cc.p/en'], [['+/B.am/.'], ['poisoning/Cc.s/en'], ['water/Cc.s/en']]]]}]","[{'PRED': 'Condemns', 'SOURCE': 'Canada', 'TARGET': 'Abbas', 'TOPIC': 'accusing rabbis of poisoning water'}]"
180,(condemns/Pd.sox.|f--3s-/en un/Cp.s/en australia/Cp.s/en (for/T/en (expelling/P.ox.|pg----/en (+/B.am/. sheikh/Cp.s/en (+/B.am/. mansour/Cp.s/en leghaei/Cp.s/en)) (to/T/en iran/Cp.s/en)))),UN condemns Australia for expelling Sheikh Mansour Leghaei to Iran,"[{'PRED': ['condemns/Pd.sox.|f--3s-/en'], 'SOURCE': ['un/Cp.s/en'], 'TARGET': ['australia/Cp.s/en'], 'TOPIC': [['expelling/P.ox.|pg----/en'], [['+/B.am/.'], ['sheikh/Cp.s/en'], [['+/B.am/.'], ['mansour/Cp.s/en'], ['leghaei/Cp.s/en']]], [['to/T/en'], ['iran/Cp.s/en']]]}]","[{'PRED': 'Condemns', 'SOURCE': 'UN', 'TARGET': 'Australia', 'TOPIC': 'expelling Sheikh Mansour Leghaei to Iran'}]"
181,(condemns/Pd.sox.|f--3s-/en un/Cp.s/en israel/Cp.s/en (for/T/en (violating/P.o.|pg----/en (of/Br.ma/en health/Cp.s/en syrians/Cp.p/en)))),UN Condemns Israel for 'Violating Health of Syrians,"[{'PRED': ['condemns/Pd.sox.|f--3s-/en'], 'SOURCE': ['un/Cp.s/en'], 'TARGET': ['israel/Cp.s/en'], 'TOPIC': [['violating/P.o.|pg----/en'], [['of/Br.ma/en'], ['health/Cp.s/en'], ['syrians/Cp.p/en']]]}]","[{'PRED': 'Condemns', 'SOURCE': 'UN', 'TARGET': 'Israel', 'TOPIC': 'Violating Health of Syrians'}]"
182,(condemns/Pd.soxx.|f--3s-/en hamas/Cp.s/en egypt/Cp.s/en (for/T/en (flooding/P.o.|pg----/en (+/B.am/. gaza/Cp.s/en tunnel/Cc.s/en))) (leaving/Pd.oo.|pg----/en (4/M#/en palestinians/Cp.p/en) dead/Ca/en)),"Hamas condemns Egypt for flooding Gaza tunnel, leaving 4 Palestinians dead","[{'PRED': ['condemns/Pd.soxx.|f--3s-/en'], 'SOURCE': ['hamas/Cp.s/en'], 'TARGET': ['egypt/Cp.s/en'], 'TOPIC': [['flooding/P.o.|pg----/en'], [['+/B.am/.'], ['gaza/Cp.s/en'], ['tunnel/Cc.s/en']]]}]","[{'PRED': 'condemns', 'SOURCE': 'Hamas', 'TARGET': 'Egypt', 'TOPIC': 'flooding Gaza tunnel'}]"
183,(criticize/Pd.ssox.|f-----/en germany/Cp.s/en france/Cp.s/en israel/Cp.s/en (for/T/en (seizing/P.o.|pg----/en (+/B.am/. (+/B.am/. west/Cp.s/en bank/Cp.s/en) land/Cc.s/en)))),"Germany, France criticize Israel for seizing West Bank land","[{'PRED': ['criticize/Pd.ssox.|f-----/en'], 'SOURCE': ['germany/Cp.s/en'], 'TARGET': ['israel/Cp.s/en'], 'TOPIC': [['seizing/P.o.|pg----/en'], [['+/B.am/.'], [['+/B.am/.'], ['west/Cp.s/en'], ['bank/Cp.s/en']], ['land/Cc.s/en']]]}, {'PRED': ['criticize/Pd.ssox.|f-----/en'], 'SOURCE': ['france/Cp.s/en'], 'TARGET': ['israel/Cp.s/en'], 'TOPIC': [['seizing/P.o.|pg----/en'], [['+/B.am/.'], [['+/B.am/.'], ['west/Cp.s/en'], ['bank/Cp.s/en']], ['land/Cc.s/en']]]}]","[{'PRED': 'criticize', 'SOURCE': 'Germany', 'TARGET': 'Israel', 'TOPIC': 'seizing West Bank land'}, {'PRED': 'criticize', 'SOURCE': 'France', 'TARGET': 'Israel', 'TOPIC': 'seizing West Bank land'}]"
184,(criticized/Pd.soxx.<f-----/en china/Cp.s/en japan/Cp.s/en (on/Tt/en thursday/Cp.s/en) (for/T/en (lodging/P.o.|pg----/en (a/Md/en (diplomatic/Ma/en (+/B.mm/. protest/Cc.s/en (against/Jr.ma/en (a/Md/en (chinese/Ma/en (+/B.am/. (+/B.am/. state/Cc.s/en media/Cc.p/en) commentary/Cc.s/en))) (calling/P.xo.|pg----/en (into/T/en question/Cc.s/en) (japanese/Ma/en (+/B.mm/. sovereignty/Cc.s/en (over/Jr.ma/en (the/Md/en (southern/Ma/en (+/B.am/. ryukyu/Cp.s/en islands/Cp.p/en))) (include/P.so.|f-----/en which/C/en okinawa/Cp.s/en)))))))))))),"China criticized Japan on Thursday for lodging a diplomatic protest against a Chinese state media commentary calling into question Japanese sovereignty over the southern Ryukyu Islands, which include Okinawa","[{'PRED': ['criticized/Pd.soxx.<f-----/en'], 'SOURCE': ['china/Cp.s/en'], 'TARGET': ['japan/Cp.s/en'], 'TOPIC': [['lodging/P.o.|pg----/en'], [['a/Md/en'], [['diplomatic/Ma/en'], [['+/B.mm/.'], ['protest/Cc.s/en'], [['against/Jr.ma/en'], [['a/Md/en'], [['chinese/Ma/en'], [['+/B.am/.'], [['+/B.am/.'], ['state/Cc.s/en'], ['media/Cc.p/en']], ['commentary/Cc.s/en']]]], [['calling/P.xo.|pg----/en'], [['into/T/en'], ['question/Cc.s/en']], [['japanese/Ma/en'], [['+/B.mm/.'], ['sovereignty/Cc.s/en'], [['over/Jr.ma/en'], [['the/Md/en'], [['southern/Ma/en'], [['+/B.am/.'], ['ryukyu/Cp.s/en'], ['islands/Cp.p/en']]]], [['include/P.so.|f-----/en'], ['which/C/en'], ['okinawa/Cp.s/en']]]]]]]]]]]}]","[{'PRED': 'criticized', 'SOURCE': 'China', 'TARGET': 'Japan', 'TOPIC': 'lodging a diplomatic protest against a Chinese state media commentary calling into question Japanese sovereignty over the southern Ryukyu Islands, which include Okinawa'}]"
185,(criticizes/Pd.sox.|f--3s-/en biden/Cp.s/en pa/Cp.s/en (for/T/en ((not/Mn/en condemning/P.o.|pg----/en) terrorism/Cc.s/en))),Biden criticizes PA for not condemning terrorism,"[{'PRED': ['criticizes/Pd.sox.|f--3s-/en'], 'SOURCE': ['biden/Cp.s/en'], 'TARGET': ['pa/Cp.s/en'], 'TOPIC': [[['not/Mn/en'], ['condemning/P.o.|pg----/en']], ['terrorism/Cc.s/en']]}]","[{'PRED': 'criticizes', 'SOURCE': 'Biden', 'TARGET': 'PA', 'TOPIC': 'not condemning terrorism'}]"
186,(criticizes/Pd.sox.|f--3s-/en eu/Cp.s/en turkey/Cp.s/en (for/T/en (summoning/P.o.|pg----/en (german/Ma/en envoy/Cc.s/en)))),EU criticizes Turkey for summoning German envoy,"[{'PRED': ['criticizes/Pd.sox.|f--3s-/en'], 'SOURCE': ['eu/Cp.s/en'], 'TARGET': ['turkey/Cp.s/en'], 'TOPIC': [['summoning/P.o.|pg----/en'], [['german/Ma/en'], ['envoy/Cc.s/en']]]}]","[{'PRED': 'criticizes', 'SOURCE': 'EU', 'TARGET': 'Turkey', 'TOPIC': 'summoning German envoy'}]"
